Date,Time (UTC),Exchange,Symbol,Action,Quantity,Price,Margin USD,P&L USD,P&L %,Balance After,Result,Order ID,Mode,Notes
2026-04-19,08:28:54,BitGet,ETHUSDT,BLOCKED,,2317.78,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,08:28:56,BitGet,SOLUSDT,OPEN LONG,0.147249,84.89,12.50,,,PAPER-1776587336502,PAPER,"SL $83.62 | TP $87.44"
2026-04-19,08:28:58,BitGet,XAUTUSDT,BLOCKED,,4778.80,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,08:36:59,BitGet,SOLUSDT,CLOSE LONG,0.147249,84.90,12.50,0.01,0.12%,PAPER-1776587336502,PAPER,"EARLY_EXIT_PROFIT: Setup invalidated — price fell below both VWAP and EMA(20)"
2026-04-19,08:37:00,BitGet,BTCUSDT,BLOCKED,,75188.89,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,08:37:02,BitGet,ETHUSDT,BLOCKED,,2316.80,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,08:37:04,BitGet,SOLUSDT,BLOCKED,,84.87,,,,BLOCKED,BLOCKED,"Failed: "
2026-04-19,08:37:05,BitGet,XAUTUSDT,BLOCKED,,4779.58,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,08:50:25,BitGet,BTCUSDT,BLOCKED,,75202.28,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,08:50:27,BitGet,ETHUSDT,BLOCKED,,2317.76,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,08:50:28,BitGet,SOLUSDT,BLOCKED,,84.63,,,,,,BLOCKED,BLOCKED,"Failed: Volume drying up (sellers exhausted)"
2026-04-19,08:50:29,BitGet,XAUTUSDT,BLOCKED,,4780.55,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,10:09:52,BitGet,BTCUSDT,BLOCKED,,74996.97,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,10:09:54,BitGet,ETHUSDT,BLOCKED,,2308.14,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,10:09:58,BitGet,SOLUSDT,BLOCKED,,84.59,,,,,,BLOCKED,BLOCKED,"Failed: Volume drying up (sellers exhausted)"
2026-04-19,10:10:00,BitGet,XAUTUSDT,BLOCKED,,4774.28,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,10:10:03,BitGet,BNBUSDT,OPEN LONG,0.024212,619.53,15.00,,,,,PAPER-1776593403706,PAPER,"10x leverage | SL $610.24 | TP $638.12"
2026-04-19,11:45:45,BitGet,BNBUSDT,CLOSE LONG,0.024212,622.35,15.00,+0.68,+4.55%,$30.69,"✅ WIN +$0.68",PAPER-1776593403706,PAPER,"EARLY_EXIT_PROFIT: Setup invalidated — price fell below both VWAP and EMA(20)"
2026-04-19,11:45:46,BitGet,BTCUSDT,BLOCKED,,75523.28,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,11:45:47,BitGet,ETHUSDT,BLOCKED,,2328.65,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,11:45:49,BitGet,SOLUSDT,BLOCKED,,85.50,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,11:45:50,BitGet,XAUTUSDT,BLOCKED,,4779.43,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,11:45:52,BitGet,BNBUSDT,BLOCKED,,622.37,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,12:48:25,BitGet,BTCUSDT,BLOCKED,,75504.70,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,12:48:27,BitGet,ETHUSDT,BLOCKED,,2326.65,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,12:48:31,BitGet,SOLUSDT,BLOCKED,,85.62,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,12:48:34,BitGet,XAUTUSDT,BLOCKED,,4776.90,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,12:48:37,BitGet,BNBUSDT,BLOCKED,,622.67,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,13:11:43,BitGet,BTCUSDT,BLOCKED,,75711.01,,,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (pullback in uptrend)"
2026-04-19,13:11:45,BitGet,ETHUSDT,BLOCKED,,2336.28,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,13:11:47,BitGet,SOLUSDT,BLOCKED,,86.27,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,13:11:48,BitGet,XAUTUSDT,BLOCKED,,4783.73,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,13:11:50,BitGet,BNBUSDT,BLOCKED,,624.26,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,14:09:43,BitGet,BTCUSDT,BLOCKED,,75687.12,,,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (pullback in uptrend)"
2026-04-19,14:09:45,BitGet,ETHUSDT,BLOCKED,,2329.62,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,14:09:46,BitGet,SOLUSDT,BLOCKED,,86.08,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,14:09:47,BitGet,XAUTUSDT,BLOCKED,,4784.82,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,14:09:49,BitGet,BNBUSDT,BLOCKED,,623.82,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,14:18:39,BitGet,BTCUSDT,BLOCKED,,75828.77,,,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (pullback in uptrend)"
2026-04-19,14:18:41,BitGet,ETHUSDT,BLOCKED,,2333.78,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,14:18:42,BitGet,SOLUSDT,BLOCKED,,86.32,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,14:18:43,BitGet,XAUTUSDT,BLOCKED,,4784.24,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-19,14:18:45,BitGet,BNBUSDT,BLOCKED,,624.84,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-20,10:56:57,BitGet,BTCUSDT,BLOCKED,,75064.66,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-20,10:56:58,BitGet,ETHUSDT,BLOCKED,,2305.56,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-20,10:57:00,BitGet,SOLUSDT,BLOCKED,,84.90,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-20,10:57:01,BitGet,XAUTUSDT,BLOCKED,,4774.69,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-20,10:57:02,BitGet,BNBUSDT,BLOCKED,,626.49,,,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (pullback in uptrend)"
2026-04-20,12:03:39,BitGet,BTCUSDT,BLOCKED,,75078.62,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-20,12:03:40,BitGet,ETHUSDT,BLOCKED,,2304.88,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-20,12:03:44,BitGet,SOLUSDT,BLOCKED,,84.96,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-20,12:03:47,BitGet,XAUTUSDT,BLOCKED,,4785.20,,,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (pullback in uptrend)"
2026-04-20,12:03:49,BitGet,BNBUSDT,BLOCKED,,625.30,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-20,12:15:31,BitGet,BTCUSDT,BLOCKED,,75332.31,,,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (pullback in uptrend)"
2026-04-20,12:15:32,BitGet,ETHUSDT,BLOCKED,,2311.41,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-20,12:15:33,BitGet,SOLUSDT,BLOCKED,,85.19,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-20,12:15:35,BitGet,XAUTUSDT,BLOCKED,,4787.82,,,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (pullback in uptrend)"
2026-04-20,12:15:36,BitGet,BNBUSDT,BLOCKED,,626.05,,,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (pullback in uptrend)"
2026-04-20,15:23:53,BitGet,BTCUSDT,BLOCKED,,75443.99,,,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (pullback in uptrend)"
2026-04-20,15:23:54,BitGet,ETHUSDT,BLOCKED,,2309.23,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-20,15:23:56,BitGet,SOLUSDT,BLOCKED,,85.43,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-20,15:23:57,BitGet,XAUTUSDT,BLOCKED,,4782.78,,,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (pullback in uptrend)"
2026-04-20,15:23:59,BitGet,BNBUSDT,BLOCKED,,625.58,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-20,15:26:55,BitGet,BTCUSDT,BLOCKED,,75562.10,,,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (pullback in uptrend)"
2026-04-20,15:40:13,BitGet,BTCUSDT,BLOCKED,,75628.80,,,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (pullback in uptrend)"
2026-04-21,14:07:49,BitGet,BTCUSDT,BLOCKED,,75761.06,,,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-21,14:07:51,BitGet,ETHUSDT,BLOCKED,,2306.60,,,,,,BLOCKED,BLOCKED,"Failed: Range signal"
2026-04-21,14:07:52,BitGet,SOLUSDT,BLOCKED,,85.68,,,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 40 (pullback in uptrend — entry timing)"
2026-04-21,14:07:54,BitGet,XAUTUSDT,BLOCKED,,4766.59,,,,,,BLOCKED,BLOCKED,"Failed: Range signal"
2026-04-21,14:07:55,BitGet,BNBUSDT,BLOCKED,,631.13,,,,,,BLOCKED,BLOCKED,"Failed: Range signal"
2026-04-21,14:11:22,BitGet,BTCUSDT,BLOCKED,,75811.17,,,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 40 — pullback entry timing"
2026-04-21,14:11:24,BitGet,ETHUSDT,BLOCKED,,2307.81,,,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 40 — pullback entry timing"
2026-04-21,14:11:25,BitGet,SOLUSDT,BLOCKED,,85.71,,,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 40 — pullback entry timing"
2026-04-21,14:11:26,BitGet,XAUTUSDT,OPEN LONG,0.069977,4763.43,333.33,,,,,PAPER-1776780687066,PAPER,"15x leverage | SL $4691.98 | TP $4906.33"
2026-04-21,14:11:29,BitGet,BNBUSDT,BLOCKED,,631.32,,,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 40 — pullback entry timing"
2026-04-21,14:12:31,BitGet,BTCUSDT,BLOCKED,,75850.01,,,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 40 — pullback entry timing"
2026-04-21,14:12:32,BitGet,ETHUSDT,BLOCKED,,2307.65,,,,,,BLOCKED,BLOCKED,"Failed: Range signal"
2026-04-21,14:12:34,BitGet,SOLUSDT,OPEN SHORT,2.916472,85.72,250.00,,,,,PAPER-1776780754183,PAPER,"20x leverage | SL $87.01 | TP $83.15"
2026-04-21,14:12:36,BitGet,XAUTUSDT,OPEN LONG,0.069968,4764.06,333.33,,,,,PAPER-1776780756724,PAPER,"15x leverage | SL $4692.6 | TP $4906.98"
2026-04-21,14:12:38,BitGet,BNBUSDT,BLOCKED,,631.41,,,,,,BLOCKED,BLOCKED,"Failed: Range signal"
2026-04-22,11:33:51,BitGet,SOLUSDT,CLOSE SHORT,2.916472,88.27,250.00,-149.90,-59.96%,$1350.79,"❌ LOSS -$149.90",PAPER-1776780754183,PAPER,"WIN"
2026-04-22,11:33:57,BitGet,BTCUSDT,BLOCKED,,78278.63,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic move"
2026-04-22,11:33:58,BitGet,ETHUSDT,OPEN SHORT,0.083613,2391.98,200.00,,,,,PAPER-1776857638988,PAPER,"25x leverage | SL $2427.86 | TP $2320.22"
2026-04-22,11:34:01,BitGet,SOLUSDT,OPEN SHORT,2.832540,88.26,250.00,,,,,PAPER-1776857641263,PAPER,"20x leverage | SL $89.58 | TP $85.61"
2026-04-22,11:34:03,BitGet,XAUTUSDT,OPEN SHORT,0.070259,4744.28,333.33,,,,,PAPER-1776857643271,PAPER,"15x leverage | SL $4815.44 | TP $4601.95"
2026-04-22,11:51:34,BitGet,ETHUSDT,CLOSE SHORT,0.083613,2394.71,200.00,-5.71,-2.85%,$1345.08,"❌ LOSS -$5.71",PAPER-1776857638988,PAPER,"EARLY_EXIT_LOSS: Volume surging 1.8x against short — pump detected, cutting loss now"
2026-04-22,11:51:44,BitGet,BTCUSDT,BLOCKED,,78245.22,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic breakout"
2026-04-22,11:51:46,BitGet,ETHUSDT,BLOCKED,,2394.71,,,,,,BLOCKED,BLOCKED,"Failed: Range signal"
2026-04-22,11:51:49,BitGet,SOLUSDT,BLOCKED,,88.25,,,,,,BLOCKED,BLOCKED,"Failed: Range signal"
2026-04-22,11:51:52,BitGet,XAUTUSDT,OPEN SHORT,0.094950,4739.32,450.00,,,,,PAPER-1776858712583,PAPER,"10x leverage | SL $4810.41 | TP $4597.14"
2026-04-24,12:11:16,BitGet,SOLUSDT,CLOSE SHORT,2.832540,86.55,250.00,+96.87,+38.75%,$-28.05,"✅ WIN +$96.87",PAPER-1776857641263,PAPER,"EARLY_EXIT_PROFIT: Setup invalidated — price above VWAP+EMA20, RSI(3)=85.4 (confirmed 2 scans)"
2026-04-24,12:11:28,BitGet,BTCUSDT,OPEN SHORT,0.000256,78260.16,20.00,,,,,PAPER-1777032688648,PAPER,"5x leverage | SL $79434.06 | TP $75912.36"
2026-04-24,12:22:08,BitGet,XAUTUSDT,CLOSE LONG,0.069977,4691.70,333.33,-75.00,-22.50%,$-103.05,"❌ LOSS -$75.00",PAPER-1776780687066,PAPER,"LOSS"
2026-04-24,12:22:09,BitGet,XAUTUSDT,CLOSE LONG,0.069968,4691.70,333.33,-75.00,-22.50%,$-178.05,"❌ LOSS -$75.00",PAPER-1776780756724,PAPER,"LOSS"
2026-04-24,12:22:12,BitGet,BTCUSDT,CLOSE SHORT,0.000256,78262.08,20.00,+0.00,+-0.01%,$-178.05,"✅ WIN +$0.00",PAPER-1777032688648,PAPER,"EARLY_EXIT_LOSS: Volume surging 1.6x against short — pump detected, cutting loss now"
2026-04-24,12:22:14,BitGet,BTCUSDT,BLOCKED,,82986.70,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,12:24:00,BitGet,BTCUSDT,BLOCKED,,82986.70,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,12:24:01,BitGet,ETHUSDT,BLOCKED,,2639.15,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic breakout; Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,12:31:20,BitGet,BTCUSDT,BLOCKED,,82986.70,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,12:31:23,BitGet,ETHUSDT,BLOCKED,,2639.15,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic breakout; Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,12:31:27,BitGet,SOLUSDT,BLOCKED,,115.97,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic breakout; Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,12:31:29,BitGet,XAUTUSDT,BLOCKED,,4894.10,,,,,,BLOCKED,BLOCKED,"Failed: Range signal"
2026-04-24,12:31:31,BitGet,BNBUSDT,BLOCKED,,836.42,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic breakout; Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,12:34:03,BitGet,BTCUSDT,BLOCKED,,82986.70,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,12:34:04,BitGet,ETHUSDT,BLOCKED,,2639.15,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic breakout; Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,12:34:06,BitGet,SOLUSDT,BLOCKED,,115.97,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic breakout; Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,12:34:07,BitGet,XAUTUSDT,BLOCKED,,4894.10,,,,,,BLOCKED,BLOCKED,"Failed: Range signal"
2026-04-24,12:34:09,BitGet,BNBUSDT,BLOCKED,,836.42,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic breakout; Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,12:46:39,BitGet,BTCUSDT,BLOCKED,,82986.70,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,12:46:41,BitGet,ETHUSDT,BLOCKED,,2639.15,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic breakout; Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,12:46:42,BitGet,SOLUSDT,BLOCKED,,115.97,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic breakout; Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,12:46:44,BitGet,XAUTUSDT,BLOCKED,,4894.10,,,,,,BLOCKED,BLOCKED,"Failed: Range signal"
2026-04-24,12:46:45,BitGet,BNBUSDT,BLOCKED,,836.42,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic breakout; Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,13:01:52,BitGet,BTCUSDT,BLOCKED,,82986.70,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,13:01:53,BitGet,ETHUSDT,BLOCKED,,2639.15,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic breakout; Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,13:01:55,BitGet,SOLUSDT,BLOCKED,,115.97,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic breakout; Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,13:01:56,BitGet,XAUTUSDT,BLOCKED,,4894.10,,,,,,BLOCKED,BLOCKED,"Failed: Range signal"
2026-04-24,13:01:58,BitGet,BNBUSDT,BLOCKED,,836.42,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic breakout; Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,13:29:47,BitGet,XAUTUSDT,BLOCKED,,4894.10,,,,,,BLOCKED,BLOCKED,"Failed: Range signal"
2026-04-24,13:29:49,BitGet,BNBUSDT,BLOCKED,,836.42,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic breakout; Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,13:44:56,BitGet,BTCUSDT,BLOCKED,,82986.70,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,13:44:57,BitGet,ETHUSDT,BLOCKED,,2639.15,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic breakout; Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
